Unnamed: 0,SMILES,target_OPRD1_standard_value,compound_id
0,C=CCN(CC=C)CCc1c[nH]c2ccc(OC)cc12,5.043909398171858,0
1,COc1ccc(NC(=O)N2CCN(c3ccc(-c4ccccc4)cc3)CC2)cc1N1CCN(C)CC1,5.0,1
2,COc1ccccc1N1CCC(C(=O)Nc2ccc(OC)c(N3CCN(C)CC3)c2)CC1,5.0,2
3,NC1=NCc2cc(Cl)ccc2N1,5.0,3
4,N#Cc1ccc(CCOC(=O)NC2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.24,4
5,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,6.3694237991598825,5
6,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,5.0,6
7,CCOc1ccc(CCNC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.07,7
8,COc1ccc(NC(=O)N2CCN(c3ccccc3Cl)CC2)cc1N1CCN(C)CC1,5.0,8
9,COc1ccc(NC(=O)N2CCN(c3ccc(SC)cc3)CC2)cc1N1CCN(C)CC1,5.0,9
10,COC(=O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1,5.043909398171858,10
11,CCN(C)C1CCCc2ccncc21,5.0,11
12,O=C(CCc1ccc(F)cc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.03,12
13,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,5.0,13
14,O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,5.74,14
15,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4,5.0,15
16,CN1CCc2c(c3cccc4c3n2CCc2ccccc2-4)C1,5.043909398171858,16
17,Cc1ccc(S(=O)(=O)NCc2ccc(C(=O)NCCN(Cc3ccccc3)C(C)C)cc2)cc1,5.592861877647238,17
18,Fc1ccccc1N1CCN(Cc2c[nH]c3ncccc23)CC1,5.0,18
19,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.0,19
21,O=C(CCCc1ccccc1)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.43,20
22,COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1,5.0,21
23,CN1CCc2c(c3cccc4c3n2-c2ccccc2CC4)C1,5.043909398171858,22
24,COc1ccc(NC(=O)N2CCN(c3ccc(F)cc3)CC2)cc1N1CCN(C)CC1,5.0,23
25,COc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1N1CCN(C)CC1,5.0,24
26,CSc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.0,25
27,N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1,5.0,26
28,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.7014307197995375,27
29,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.81,28
30,CN1CCc2c(c3cccc4c3n2Cc2ccccc2C4)C1,5.043909398171858,29
32,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,5.283652225399383,30
34,N#Cc1cc(F)cc(C#Cc2csc(F)n2)c1,5.0,31
35,COc1ccccc1N1CCN(Cc2c[nH]c3ncccc23)CC1,5.0,32
36,CCCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.0,33
37,COc1ccc(NC(=O)N2CCN(c3ccccc3F)CC2)cc1N1CCN(C)CC1,5.0,34
38,Fc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.0,35
39,FC(F)(F)c1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,5.0,36
